Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
30.0,4.4771575927734375,150.05491638183594,,,-0.0046644052490592,1.0290234088897705,,,,0.008132070302963257,0.028156984597444534,20.901994705200195,1.0271847248077393,,,,,30.0
,,,,,,,,,0.001,,,,,,,,,5828
31.0,,,0.7512736320495605,34.442047119140625,,,-0.002938568126410246,1.030190110206604,,,,,,0.009420777671039104,0.030182432383298874,20.274436950683594,1.0180174112319946,31.0
31.0,4.518609046936035,154.57351684570312,,,-0.004572614096105099,1.032953143119812,,,,0.008066567592322826,0.028060054406523705,20.937408447265625,1.0277894735336304,,,,,31.0
,,,,,,,,,0.001,,,,,,,,,6016
32.0,,,0.7856996059417725,35.227745056152344,,,-0.0027842840645462275,1.0451171398162842,,,,,,0.009243997745215893,0.02993670478463173,20.35725975036621,1.0184861421585083,32.0
32.0,4.510643005371094,159.08416748046875,,,-0.004820710979402065,1.0398750305175781,,,,0.00794525071978569,0.027875510975718498,21.003772735595703,1.0285779237747192,,,,,32.0
,,,,,,,,,0.001,,,,,,,,,6204
33.0,,,0.7469046115875244,35.97465133666992,,,-0.0026816432364284992,1.0330859422683716,,,,,,0.009457670152187347,0.030357707291841507,20.25699234008789,1.016095757484436,33.0
33.0,4.462392330169678,163.5465545654297,,,-0.005152784753590822,1.0421249866485596,,,,0.007911494933068752,0.027827974408864975,21.021656036376953,1.028782606124878,,,,,33.0
,,,,,,,,,0.001,,,,,,,,,6392
34.0,,,0.7598786354064941,36.734527587890625,,,-0.0036090114153921604,1.0480573177337646,,,,,,0.009263044223189354,0.02996147610247135,20.348054885864258,1.019055962562561,34.0
34.0,4.432675361633301,167.97923278808594,,,-0.004633681382983923,1.037346363067627,,,,0.007958133704960346,0.02789422683417797,20.99615478515625,1.028450846672058,,,,,34.0
,,,,,,,,,0.001,,,,,,,,,6580
35.0,,,1.0638377666473389,37.79836654663086,,,-0.0026585336308926344,1.040065050125122,,,,,,0.009274890646338463,0.030101681128144264,20.342077255249023,1.0170518159866333,35.0
